Year,Index value,9-year moving average
1910,0.09,0.104660156
1911,0.151,0.110683594
1912,0.103,0.113894531
1913,0.077,0.117644531
1914,0.167,0.120289063
1915,0.135,0.114097656
1916,0.093,0.099378906
1917,0.045,0.088074219
1918,0.086,0.088289063
1919,0.12,0.095527344
1920,0.088,0.102152344
1921,0.116,0.105921875
1922,0.099,0.106277344
1923,0.132,0.1009375
1924,0.086,0.091
1925,0.047,0.082882813
1926,0.095,0.08009375
1927,0.092,0.078679688
1928,0.068,0.074511719
1929,0.068,0.069585938
1930,0.059,0.069273438
1931,0.062,0.076296875
1932,0.085,0.086453125
1933,0.143,0.091507813
1934,0.065,0.089707031
1935,0.064,0.088332031
1936,0.106,0.091757813
1937,0.1,0.09440625
1938,0.12,0.090003906
1939,0.051,0.081386719
1940,0.069,0.076289063
1941,0.077,0.076964844
1942,0.092,0.078742188
1943,0.077,0.077351563
1944,0.074,0.073335938
1945,0.061,0.0695
1946,0.074,0.067375
1947,0.057,0.067242188
1948,0.077,0.069988281
1949,0.053,0.076585938
1950,0.1,0.085488281
1951,0.107,0.093453125
1952,0.077,0.099285156
1953,0.123,0.102855469
1954,0.099,0.101261719
1955,0.129,0.091710938
1956,0.042,0.077964844
1957,0.068,0.068511719
1958,0.049,0.068089844
1959,0.089,0.074625
1960,0.07,0.083058594
1961,0.104,0.088992188
1962,0.11,0.091367188
1963,0.049,0.093347656
1964,0.125,0.097054688
1965,0.098,0.098835938
1966,0.117,0.0943125
1967,0.066,0.085347656
1968,0.078,0.07796875
1969,0.062,0.075542969
1970,0.088,0.076789063
1971,0.076,0.079398438
1972,0.075,0.082453125
1973,0.093,0.084675781
1974,0.097,0.084347656
1975,0.072,0.082664063
1976,0.064,0.08303125
1977,0.113,0.086875
1978,0.071,0.09415625
1979,0.094,0.104761719
1980,0.141,0.11515625
1981,0.125,0.118601563
1982,0.129,0.112484375
1983,0.087,0.10234375
1984,0.082,0.096457031
1985,0.087,0.09696875
1986,0.131,0.098492188
1987,0.088,0.097234375
1988,0.084,0.097285156
1989,0.077,0.102550781
1990,0.155,0.107726563
1991,0.117,0.106171875
1992,0.063,0.102625
1993,0.1,0.10859375
1994,0.113,0.127316406
1995,0.162,0.149796875
1996,0.21,0.164550781
1997,0.135,0.166515625
1998,0.196,0.156292969
1999,0.151,0.137890625
2000,0.07,0.119820313
2001,0.114,0.110183594
2002,0.114,0.109574219
2003,0.108,0.114769531
2004,0.1,0.124726563
2005,0.168,0.138054688
2006,0.131,0.150023438
2007,0.182,0.155523438
2008,0.176,0.154144531
2009,0.092,0.150519531
2010,0.194,0.147636719
2011,0.142,0.144246094
2012,0.117,0.14153125
2013,0.149,0.144476563
2014,0.128,0.154082031
2015,0.209,0.16503125
2016,0.146,0.171324219
2017,0.196,0.168871094
2018,0.175,0.15475
2019,0.136,0.130621094
2020,0.078,0.10525
